state_abb,D0,D1,D2,D3,D4
WA,0.0,0.0,0.0,0.0,0.0
CA,11.08,23.89,30.42,34.61,0.0
MI,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
ND,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
AL,55.74,20.34,23.76,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
DC,17.18,5.19,1.74,0.04,0.0
MD,0.0,0.0,0.0,0.0,0.0
AZ,0.07,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
DC,7.45,0.94,0.0,0.0,0.0
